kisagyak[hy:kis|agy]
kisajkak[hy:kis|ajak]
kisegerek[hy:kis|egér]
kisfazekak[hy:kis|fazék]
kishalak[hy:kis|hal]
kisholdak[hy:kis|hold]
kiskanalak[hy:kis|kanál]
kiskereskedelmek[hy:kis|kereskedelem]
kismadarak[hy:kis|madár]
kisnyulak[hy:kis|nyúl]
kispoharak[hy:kis|pohár]
kisszótárak[hy:kis||szó|tár]
kistermek[hy:kis|terem]
kisujjak[hy:kis|ujj]
kisvadak[hy:kis|vad]
kisvasutak[hy:kis||vas|út]
kisvizek[hy:kis|víz]
kiszolgálóoldalak[hy:ki|szolgáló||oldal]
kiságyak[hy:kis|ágy]
kisõrlõfogak[hy:kis|õrlõ|fog]
kliensoldalak[hy:kliens|oldal]
klubházak[hy:klub|ház]
klórossavak[hy:klóros|sav]
kocsikerekek[hy:kocsi|kerék]
kocsirudak[hy:kocsi|rúd]
komiszkenyerek[hy:komisz|kenyér]
konzervgyárak[hy:konzerv|gyár]
kopásgödrök[hy:kopás|gödör]
kormánykerekek[hy:kormány|kerék]
kormányrudak[hy:kormány|rúd]
kotróvasak[hy:kotró|vas]
kovácsoltvasak[hy:kovácsolt|vas]
krétavonalak[hy:kréta|vonal]
kubikgödrök[hy:kubik|gödör]
kukoricacsövek[hy:kukorica|csõ]
kukoricahajak[hy:kukorica|haj]
kukoricahéjak[hy:kukorica|héj]
kukoricalevelek[hy:kukorica|levél]
kukoricapelyhek[hy:kukorica|pehely]
kulcslyukak[hy:kulcs|lyuk]
kulcsosházak[hy:kulcsos|ház]
kurtavasak[hy:kurta|vas]
kurvaházak[hy:kurva|ház]
kutatótermek[hy:kutató|terem]
kutatótornyok[hy:kutató|torony]
kákabelek[hy:káka|bél]
kárminsavak[hy:kármin|sav]
kávéaljak[hy:kávé|alj]
kávéházak[hy:kávé|ház]
kávéskanalak[hy:kávés|kanál]
kéksavak[hy:kék|sav]
kékszakállak[hy:kék|szakáll]
kémcsövek[hy:kém|csõ]
kénessavak[hy:kénes|sav]
kénsavak[hy:kén|sav]
képtárak[hy:kép|tár]
kézbütykök[hy:kéz|bütyök]
kézikosarak[hy:kézi|kosár]
kézközepek[hy:kéz|közép]
kócsagtollak[hy:kócsag|toll]
kórházak[hy:kór|ház]
kórtermek[hy:kór|terem]
kõhalmok[hy:kõ|halom]
kõkapcsok[hy:kõ|kapocs]
kõrisbogarak[hy:kõris|bogár]
kõszenek[hy:kõ|szén]
köbtartalmak[hy:köb|tartalom]
kökénybokrok[hy:kökény|bokor]
kölnivizek[hy:kölni|víz]
könnyárak[hy:könny|ár]
könnyûvizek[hy:könnyû|víz]
könyvesházak[hy:könyves|ház]
könyvtárak[hy:könyv|tár]
könyökcsövek[hy:könyök|csõ]
körforgalmak[hy:kör|forgalom]
körlevelek[hy:kör|levél]
környezetvédelmek[hy:környezet|védelem]
körtebokrok[hy:körte|bokor]
körvonalak[hy:kör|vonal]
kötlevelek[hy:köt|levél]
kötõszavak[hy:kötõ|szó]
kötõvasak[hy:kötõ|vas]
kötõvonalak[hy:kötõ|vonal]
közfalak[hy:köz|fal]
közhatalmak[hy:köz|hatalom]
közkegyelmek[hy:köz|kegyelem]
közterek[hy:köz|tér]
középagyak[hy:közép|agy]
középvonalak[hy:közép|vonal]
külkereskedelmek[hy:kül|kereskedelem]
külsérelmek[hy:kül|sérelem]
kültelkek[hy:kül|telek]
külterek[hy:kül|tér]
különdíjak[hy:külön|díj]
különtermek[hy:külön|terem]
különágyak[hy:külön|ágy]
küzdõterek[hy:küzdõ|tér]
lakóházak[hy:lakó|ház]
laposvasak[hy:lapos|vas]
lelencházak[hy:lelenc|ház]
leltárak[hy:lel|tár]
lemezvasak[hy:lemez|vas]
lendítõkerekek[hy:lendítõ|kerék]
lenolajak[hy:len|olaj]
lepényhalak[hy:lepény|hal]
levendulaolajak[hy:levendula|olaj]
levesestálak[hy:leveses|tál]
levéldarazsak[hy:levél|darázs]
levélnyelek[hy:levél|nyél]
levéltárak[hy:levél|tár]
likõröspoharak[hy:likõrös|pohár]
lomtárak[hy:lom|tár]
lábszárak[hy:láb|szár]
lábujjak[hy:láb|ujj]
lágybogarak[hy:lágy|bogár]
lágyvasak[hy:lágy|vas]
lámpalázak[hy:lámpa|láz]
láncfonalak[hy:lánc|fonál]
lánchidak[hy:lánc|híd]
lándzsanyelek[hy:lándzsa|nyél]
lápibaglyok[hy:lápi|bagoly]
látcsövek[hy:lát|csõ]
légcsövek[hy:lég|csõ]
légihidak[hy:légi|híd]
légiterek[hy:légi|tér]
légterek[hy:lég|tér]
légvonalak[hy:lég|vonal]
légvárak[hy:lég|vár]
légzõgyökerek[hy:légzõ|gyökér]
lépcsõházak[hy:lépcsõ|ház]
lódarazsak[hy:ló|darázs]
lófogak[hy:ló|fog]
lóhátak[hy:ló|hát]
lóvasutak[hy:ló||vas|út]
lõterek[hy:lõ|tér]
lõvonalak[hy:lõ|vonal]
lövegzárak[hy:löveg|zár]
lövészgödrök[hy:lövész|gödör]
lövészárkok[hy:lövész|árok]
lúdtalpak[hy:lúd|talp]
lúdtollak[hy:lúd|toll]
macskagyökerek[hy:macska|gyökér]
magasságvonalak[hy:magasság|vonal]
magasvasutak[hy:magas||vas|út]
magburkok[hy:mag|burok]
magházak[hy:mag|ház]
magtárak[hy:mag|tár]
magánfelek[hy:magán|fél]
magánházak[hy:magán|ház]
magánlevelek[hy:magán|levél]
magánnyugdíjak[hy:magán||nyug|díj]
magántitkok[hy:magán|titok]
magánvádak[hy:magán|vád]
malomgátak[hy:malom|gát]
malteroskanalak[hy:malteros|kanál]
megbízólevelek[hy:megbízó|levél]
melegházak[hy:meleg|ház]
melegágyak[hy:meleg|ágy]
mellcsokrok[hy:mell|csokor]
mellitsavak[hy:mellit|sav]
mellszobrok[hy:mell|szobor]
melléknevek[hy:mellék|név]
mellékvonalak[hy:mellék|vonal]
mellékértelmek[hy:mellék|értelem]
mellékutak[hy:mellék|út]
menedékházak[hy:menedék|ház]
menedéklevelek[hy:menedék|levél]
mentsvárak[hy:ments|vár]
mentõkötelek[hy:mentõ|kötél]
meszesgödrök[hy:meszes|gödör]
metszõfogak[hy:metszõ|fog]
metszõvonalak[hy:metszõ|vonal]
mocsárlázak[hy:mocsár|láz]
mogyoróbokrok[hy:mogyoró|bokor]
mokkacukrok[hy:mokka|cukor]
mokkakanalak[hy:mokka|kanál]
mokkáskanalak[hy:mokkás|kanál]
mosdótálak[hy:mosdó|tál]
mosogatóvizek[hy:mosogató|víz]
mozgásterek[hy:mozgás|tér]
mozivásznak[hy:mozi|vászon]
munkaalkalmak[hy:munka|alkalom]
munkatermek[hy:munka|terem]
murvalevelek[hy:murva|levél]
mutatóujjak[hy:mutató|ujj]
málhanyergek[hy:málha|nyereg]
